route,flightDate,mean_fare,n
ATL-IAD,2022-06-11,222.28846543001686,593.0
ATL-IAD,2022-06-12,321.18628865979383,679.0
ATL-IAD,2022-06-13,300.82655043586544,803.0
ATL-IAD,2022-06-14,252.8115708812261,783.0
ATL-IAD,2022-06-15,262.2926618705036,834.0
ATL-IAD,2022-06-16,261.6571713147411,753.0
ATL-IAD,2022-06-17,286.90942046855736,811.0
ATL-JFK,2022-04-17,379.64500000000004,22.0
ATL-JFK,2022-04-18,329.5422222222222,63.0
ATL-JFK,2022-04-19,337.6688888888889,90.0
ATL-JFK,2022-04-20,323.3538461538462,104.0
ATL-JFK,2022-04-21,392.6036363636364,99.0
ATL-JFK,2022-04-22,487.16662721893493,169.0
ATL-JFK,2022-04-23,568.1109047619047,210.0
ATL-JFK,2022-04-24,687.7121608040201,199.0
ATL-JFK,2022-04-25,466.53505102040816,196.0
ATL-JFK,2022-04-26,356.6288581314879,289.0
ATL-JFK,2022-04-27,316.0770034843206,287.0
ATL-JFK,2022-04-28,301.3511643835617,292.0
ATL-JFK,2022-04-29,321.6214492753623,345.0
ATL-JFK,2022-04-30,259.1224019607843,408.0
ATL-JFK,2022-05-01,334.9232336956522,368.0
ATL-JFK,2022-05-02,269.63156779661017,472.0
ATL-JFK,2022-05-03,234.69758957654724,614.0
ATL-JFK,2022-05-04,241.52153741496602,735.0
ATL-JFK,2022-05-05,263.5883941605839,685.0
ATL-JFK,2022-05-06,302.75476119402987,670.0
ATL-JFK,2022-05-07,288.401993204983,883.0
ATL-JFK,2022-05-08,360.25637048192766,664.0
ATL-JFK,2022-05-09,307.4596361185984,742.0
ATL-JFK,2022-05-10,265.9099693251534,978.0
ATL-JFK,2022-05-11,258.4563721413721,962.0
ATL-JFK,2022-05-12,267.6170251396648,716.0
ATL-JFK,2022-05-13,298.8445718050066,759.0
ATL-JFK,2022-05-14,305.75719910011253,889.0
ATL-JFK,2022-05-15,387.72430429128735,769.0
ATL-JFK,2022-05-16,305.9118200202225,989.0
ATL-JFK,2022-05-17,290.98873493975907,1162.0
ATL-JFK,2022-05-18,261.06759581881533,1148.0
ATL-JFK,2022-05-19,280.8635533553355,909.0
ATL-JFK,2022-05-20,312.2849776286354,894.0
ATL-JFK,2022-05-21,322.2452450980392,1224.0
ATL-JFK,2022-05-22,397.86061200923785,866.0
ATL-JFK,2022-05-23,297.91044748858445,1095.0
ATL-JFK,2022-05-24,316.3506354009077,1322.0
ATL-JFK,2022-05-25,296.5795380029806,1342.0
ATL-JFK,2022-05-26,345.17616894197954,1172.0
ATL-JFK,2022-05-27,384.50542118432026,1199.0
ATL-JFK,2022-05-28,357.45542517006805,1176.0
ATL-JFK,2022-05-29,375.7871875,1344.0
ATL-JFK,2022-05-30,461.62546251217134,1027.0
ATL-JFK,2022-05-31,374.96771696638,1279.0
ATL-JFK,2022-06-01,351.48968091511136,1661.0
ATL-JFK,2022-06-02,321.58051991897366,1481.0
ATL-JFK,2022-06-03,344.64322261484097,1415.0
ATL-JFK,2022-06-04,342.66192668371696,1173.0
ATL-JFK,2022-06-05,399.0948158443363,1439.0
ATL-JFK,2022-06-06,338.4793866459627,1288.0
ATL-JFK,2022-06-07,324.15019846350833,1562.0
ATL-JFK,2022-06-08,334.4799627791564,1612.0
ATL-JFK,2022-06-09,350.796867816092,1392.0
ATL-JFK,2022-06-10,374.1305368693403,1546.0
ATL-JFK,2022-06-11,363.636329305136,1324.0
ATL-JFK,2022-06-12,398.5407846410685,1198.0
ATL-JFK,2022-06-13,345.46036375239305,1567.0
ATL-JFK,2022-06-14,322.29679516685843,1738.0
ATL-JFK,2022-06-15,333.5390257023311,1673.0
ATL-JFK,2022-06-16,311.75820195439735,1535.0
ATL-JFK,2022-06-17,342.45189078498294,1465.0
ATL-LAX,2022-04-17,517.1939393939394,66.0
ATL-LAX,2022-04-18,469.22318518518523,135.0
ATL-LAX,2022-04-19,418.2953937007874,254.0
ATL-LAX,2022-04-20,429.6043949044586,314.0
ATL-LAX,2022-04-21,452.969512195122,369.0
ATL-LAX,2022-04-22,460.90001855287574,539.0
ATL-LAX,2022-04-23,439.4264492753623,552.0
ATL-LAX,2022-04-24,563.30420824295,461.0
ATL-LAX,2022-04-25,450.2833985765124,562.0
ATL-LAX,2022-04-26,376.1936912751678,894.0
ATL-LAX,2022-04-27,424.1134413580247,648.0
ATL-LAX,2022-04-28,430.70795226130656,796.0
